rank,score,tier,l1,l2,l3,l4,l5,name,retailer,country,price,cur,azn,reviews,bestseller_ranks,countries,url,img,ev
22,90.9,Ranked in 3+ chains,"LAUNDRY, BATH & WARDROBE",Bath,Shower,Shower storage,Suction corner shower shelf,"Полочка для ванной угловая, Bath Republic, 23х23х9 см",Fix Price,Russia,199,RUB,3.99,179,#3 n11 Turkey (n11 search: yapışkan askı); #11 Fix Price Russia (Для дома > Для ванной (bathroom)); #36 Carrefour Poland (Wyposażenie domu > Łazienka (all)),"Poland, Russia, Turkey",https://fix-price.com/catalog/dlya-doma/p-5079275-polochka-dlya-vannoy-uglovaya-ath-epublic-23h23h9-sm,https://img.fix-price.com/insecure/rs:fit:800:800/plain/bit/_marketplace/images/origin/a0/a0b197060e55ee06ff66c0e69c46717c.jpg,n11 Turkey: #3 in 'n11 search: yapışkan askı' (best-selling); Fix Price Russia: #11 in 'Для дома > Для ванной (bathroom)' (sorted by units sold); Carrefour Poland: #36 in 'Wyposażenie domu > Łazienka (all)' (most popular) | Fix Price 199 RUB with suction cups; second corner shelf SKU (Home Time 26x26) also listed in 'Для ванной'; Action PL 'Regał prysznicowy Cascata' suction shelf 14.95 zl and self-adhesive shelf 17.95 zl; n11 Eva Metal adhesive shower shelf+soap+toothbrush set 89 ratings
23,90.2,Ranked in 3+ chains,HOUSEHOLD CLEANING,Cleaning Cloths,All-purpose cloths,Large microfibre,Large microfibre cloth (50x70 cm),"Тряпка из микрофибры, BonHome, 50х70 см, в ассортименте",Fix Price,Russia,99,RUB,1.99,14,#7 n11 Turkey (n11 search: mikrofiber bez); #21 Carrefour Poland (Wyposażenie domu > Domowe porządki > Rękawiczki i ścierki); #40 Fix Price Kazakhstan (Для дома > Для уборки (Cleaning)); #44 Fix Price Russia (Для дома > Для уборки (cleaning tools)),"Kazakhstan, Poland, Russia, Turkey",https://fix-price.com/catalog/dlya-doma/p-5040589-tryapka-iz-mikrofibry-onome-50h70-sm-v-assortimente,https://img.fix-price.com/insecure/rs:fit:800:800/plain/bit/_marketplace/images/origin/1a/1a2ea764e775eac85d4d5b73f5666a58.jpg,n11 Turkey: #7 in 'n11 search: mikrofiber bez' (best-selling); Carrefour Poland: #21 in 'Wyposażenie domu > Domowe porządki > Rękawiczki i ścierki' (most popular); Fix Price Kazakhstan: #40 in 'Для дома > Для уборки (Cleaning)' (popular first); Fix Price Russia: #44 in 'Для дома > Для уборки (cleaning tools)' (sorted by units sold) | Fix Price RU & KZ (99 RUB); n11 TR: İlbay's Mikrofiber Temizlik Bezi 3'lü 40x60 listing; Action PL: Ścierka do podłogi XL z mikrofibry Spargo 60x70
24,89.6,Ranked in 3+ chains,HOUSEHOLD CLEANING,Sponges & Scourers,Scourers,Metal scourers,Stainless steel spiral scourers,"Набор губок металлических, BonHome, 3 шт.",Fix Price,Russia,69,RUB,1.39,10,#1 n11 Turkey (n11 search: bulaşık süngeri); #11 Carrefour Poland (Wyposażenie domu > Kuchnia i jadalnia > Akcesoria kuchenne); #15 Fix Price Russia (Для дома > Для уборки (cleaning tools)); #24 Fix Price Kazakhstan (Для дома > Для уборки (Cleaning)),"Kazakhstan, Poland, Russia, Turkey",https://fix-price.com/catalog/dlya-doma/p-5026113-nabor-gubok-metallicheskih-onome-3-sht,https://img.fix-price.com/insecure/rs:fit:800:800/plain/bit/_marketplace/images/origin/78/78850a32db2b2854cb613591493eedcf.jpg,n11 Turkey: #1 in 'n11 search: bulaşık süngeri' (best-selling); Carrefour Poland: #11 in 'Wyposażenie domu > Kuchnia i jadalnia > Akcesoria kuchenne' (most popular); Fix Price Russia: #15 in 'Для дома > Для уборки (cleaning tools)' (sorted by units sold); Fix Price Kazakhstan: #24 in 'Для дома > Для уборки (Cleaning)' (popular first) | Fix Price RU & KZ (2 SKUs: 3-pack and 4-pack 'Мочалка металлическая'); Action PL: Druciaki Spargo 4szt and Gąbki metalowe Spargo; Kaspi KZ: several metal scourer 4-6 pack listings; n11 TR: Technow stainless 6-pack
25,89.6,Ranked in 3+ chains,"LAUNDRY, BATH & WARDROBE",Laundry,Drying,Pegs & lines,"Plastic clothes pegs, multipack","Прищепки, АкваМаг, 10 шт., в ассортименте",Fix Price,Russia,79,RUB,1.59,10,#1 n11 Turkey (n11 search: çamaşır mandalı); #8 Carrefour Poland (Wyposażenie domu > Łazienka (all)); #25 Fix Price Russia (Для дома > Хозяйственные мелочи (household sundries)); #38 Fix Price Kazakhstan (Для дома > Хозяйственные мелочи (Household sundries)),"Kazakhstan, Poland, Russia, Turkey",https://fix-price.com/catalog/dlya-doma/p-5060266-prischepki-akvamag-10-sht-v-assortimente,https://img.fix-price.com/insecure/rs:fit:800:800/plain/pim/images/_default_upload_bucket/5060266_1500_ANONS.png,"n11 Turkey: #1 in 'n11 search: çamaşır mandalı' (best-selling); Carrefour Poland: #8 in 'Wyposażenie domu > Łazienka (all)' (most popular); Fix Price Russia: #25 in 'Для дома > Хозяйственные мелочи (household sundries)' (sorted by units sold); Fix Price Kazakhstan: #38 in 'Для дома > Хозяйственные мелочи (Household sundries)' (popular first) | Fix Price core range (listed in 'Аксессуары для одежды'); Fix Price also stocks Home Time pegs 8/12/42 pcs; Kaspi: dedicated category 'Прищепки для белья' under 'Уход за одеждой', plastic 50 pcs 770 KZT; Action PL plastic pegs 18 pcs; n11: '144 Adet Plastik Çamaşır Mandalı' 9 reviews, 'Plastik Soft Çamaşır Mandalı 72 Adet' 3 reviews"
26,89.6,Ranked in 3+ chains,HOUSEHOLD CLEANING,Cleaning Gloves,Reusable gloves,Latex,"Household rubber gloves (latex), 1 pair","Перчатки хозяйственные, BonHome, 1 пара, в ассортименте",Fix Price,Russia,59,RUB,1.18,10,#2 Carrefour Poland (Wyposażenie domu > Domowe porządki > Rękawiczki i ścierki); #3 Fix Price Kazakhstan (Для дома > Для уборки (Cleaning)); #7 Fix Price Russia (Для дома > Для уборки (cleaning tools)),"Kazakhstan, Poland, Russia, Turkey",https://fix-price.com/catalog/dlya-doma/p-5043069-perchatki-hozyaystvennye-onome-1-para-v-assortimente,https://img.fix-price.com/insecure/rs:fit:800:800/plain/bit/_marketplace/images/origin/7e/7e8af4cc9bdce2efea82956c6ced7c63.jpeg,"Carrefour Poland: #2 in 'Wyposażenie domu > Domowe porządki > Rękawiczki i ścierki' (most popular); Fix Price Kazakhstan: #3 in 'Для дома > Для уборки (Cleaning)' (popular first); Fix Price Russia: #7 in 'Для дома > Для уборки (cleaning tools)' (sorted by units sold) | Fix Price RU & KZ (4+ household glove SKUs, incl. 'Суперпрочные'); Action PL: Rękawice do sprzątania CleanRite & Rękawice do prac w domu; n11 TR: Lateks temizlik ve bulaşık eldiveni 10 reviews"
27,89.4,Ranked in 3+ chains,"TEA, COFFEE & TABLE",Drinkware,Mugs,Everyday Mugs,"Ceramic mug, 350 ml, single","Кружка, O'Kitchen, 350 мл, в ассортименте",Fix Price,Russia,99,RUB,1.99,9,#13 n11 Turkey (n11 search: kupa); #21 Carrefour Poland (Wyposażenie domu > Kuchnia i jadalnia > Zastawa stołowa); #41 Fix Price Russia (Для дома > Для кухни (Kitchen)); #58 Fix Price Kazakhstan (Декор для дома > Товары для декора (Decor)),"Kazakhstan, Poland, Russia, Turkey",https://fix-price.com/catalog/dlya-doma/p-5091524-krujka-itchen-350-ml-v-assortimente,https://img.fix-price.com/insecure/rs:fit:800:800/plain/bit/_marketplace/images/origin/ab/abbab8c5435b5b3b99074813af32691d.jpg,"n11 Turkey: #13 in 'n11 search: kupa' (best-selling); Carrefour Poland: #21 in 'Wyposażenie domu > Kuchnia i jadalnia > Zastawa stołowa' (most popular); Fix Price Russia: #41 in 'Для дома > Для кухни (Kitchen)' (sorted by units sold); Fix Price Kazakhstan: #58 in 'Декор для дома > Товары для декора (Decor)' (popular first) | Fix Price core range 99 RUB (also 330 ml variant); Action PL: 'Kubek' 220 ml 3.99 zl, 'Kubek na herbate' 320 ml 3.99 zl, 'Kubek do kawy' 350 ml 6.95 zl - 10+ mug SKUs in Zastawa"
28,89.2,Ranked in 3+ chains,"LAUNDRY, BATH & WARDROBE",Laundry,Garment care,Lint removal,Lint roller (sticky clothes roller),"Ролик для чистки одежды, Home Time, 64 листа, в ассортименте",Fix Price,Russia,83,RUB,1.67,13,#2 Fix Price Kazakhstan (Для дома > Аксессуары для одежды (Clothes care)); #4 Fix Price Russia (Для дома > Аксессуары для одежды (clothes accessories)); #8 Carrefour Poland (Wyposażenie domu > Domowe porządki > Mopy i szczotki),"Kazakhstan, Poland, Russia, Turkey",https://fix-price.com/catalog/dlya-doma/aksessuary-dlya-odezhdy/p-5050013-rolik-dlya-chistki-odejdy-ome-ime-64-lista-v-assortimente,https://img.fix-price.com/insecure/rs:fit:800:800/plain/pim/images/7f185067de363ef63a240baae9c6db62_42.jpg,"Fix Price Kazakhstan: #2 in 'Для дома > Аксессуары для одежды (Clothes care)' (popular first); Fix Price Russia: #4 in 'Для дома > Аксессуары для одежды (clothes accessories)' (sorted by units sold); Carrefour Poland: #8 in 'Wyposażenie domu > Domowe porządki > Mopy i szczotki' (most popular) | Fix Price 83 RUB, first product in 'Аксессуары для одежды' listing alongside refills; Action PL 'Zestaw rolek czyszczących/ przylepnych'; Action PL 'Rolki do czyszczenia ubrań' 3.99 zl; n11 washable lint roller 13 ratings | Fix Price RU 'Аксессуары для одежды' (83 RUB); n11 TR: washable lint roller 13 reviews, Wondercat 60-sheet roller, Titiz 12-pack 4 reviews (rating 4.0)"
29,88.8,Ranked in 3+ chains,"TEA, COFFEE & TABLE",Drinkware,Mugs,Novelty Mugs,Character / licensed printed mug,Kubek Hello Kitty,Action,Poland,9.95,PLN,4.4,140,#7 Fix Price Kazakhstan (Декор для дома > Товары для декора (Decor)); #14 Carrefour Poland (Wyposażenie domu > Kuchnia i jadalnia > Zastawa śniadaniowa); #23 n11 Turkey (n11 search: kupa),"Kazakhstan, Poland, Turkey",https://www.action.com/pl-pl/p/3219409/kubek-hello-kitty/,https://asset.action.com/image/upload/t_digital_product_image/w_1080/3219409_3664944719380-111_01_egnd1t.webp,"Fix Price Kazakhstan: #7 in 'Декор для дома > Товары для декора (Decor)' (popular first); Carrefour Poland: #14 in 'Wyposażenie domu > Kuchnia i jadalnia > Zastawa śniadaniowa' (most popular); n11 Turkey: #23 in 'n11 search: kupa' (best-selling) | Action PL 9.95 zl (300 ml, 4 designs); Action also sells 'Kubek 3D' 17.95 zl, 'Kubek na Halloween' 12.95 zl, 'Kubek swiateczny' 14.95 zl - seasonal/novelty mugs are a recurring line; Kaspi: 'Набор кружек с принтом Coffee'"
30,88.7,Ranked in 3+ chains,HOUSEHOLD CLEANING,Sponges & Scourers,Dish sponges,Shaped sponges,Profiled grip dish sponges,"Губка для мытья посуды профильная, BonHome, 5 шт.",Fix Price,Russia,69,RUB,1.39,6,#2 n11 Turkey (n11 search: bulaşık süngeri); #5 Carrefour Poland (Wyposażenie domu > Domowe porządki > Rękawiczki i ścierki); #10 Fix Price Russia (Для дома > Для кухни (Kitchen)); #42 Fix Price Kazakhstan (Для дома > Для уборки (Cleaning)),"Kazakhstan, Poland, Russia, Turkey",https://fix-price.com/catalog/dlya-doma/tovary-dlya-uborki/p-5026182-gubka-dlya-mytya-posudy-profilnaya-onome-5-sht,https://img.fix-price.com/insecure/rs:fit:800:800/plain/pim/images/_default_upload_bucket/ebec7635ae41e74aad17c223fec24324.jpg,n11 Turkey: #2 in 'n11 search: bulaşık süngeri' (best-selling); Carrefour Poland: #5 in 'Wyposażenie domu > Domowe porządki > Rękawiczki i ścierki' (most popular); Fix Price Russia: #10 in 'Для дома > Для кухни (Kitchen)' (sorted by units sold); Fix Price Kazakhstan: #42 in 'Для дома > Для уборки (Cleaning)' (popular first) | Fix Price RU & KZ 'Для уборки' (69 RUB); n11 TR: Vileda Ultra Çizmez Oluklu (grooved) sponge 2x2 6 reviews
31,88.7,Ranked in 3+ chains,"LAUNDRY, BATH & WARDROBE",Bath,Shower,Shower fittings,Handheld shower head with hose set,"Лейка для душа со шлангом, Bath Republic, 1,5 м",Fix Price,Russia,299,RUB,6.0,50,#2 n11 Turkey (n11 search: duş başlığı); #3 Fix Price Kazakhstan (Для дома > Для ванной (Bathroom)); #5 Fix Price Russia (Для дома > Для ванной (bathroom)),"Kazakhstan, Poland, Russia, Turkey",https://fix-price.com/catalog/dlya-doma/p-5032084-leyka-dlya-dusha-so-shlangom-ath-epublic-15-m,https://img.fix-price.com/insecure/rs:fit:800:800/plain/bit/_marketplace/images/origin/ee/ee167899566d76bc97fabb2c6b98f92a.jpg,"n11 Turkey: #2 in 'n11 search: duş başlığı' (best-selling); Fix Price Kazakhstan: #3 in 'Для дома > Для ванной (Bathroom)' (popular first); Fix Price Russia: #5 in 'Для дома > Для ванной (bathroom)' (sorted by units sold) | Fix Price 299 RUB, 3 spray modes (category 'Для ванной'); Action PL 'Głowica prysznicowa Cascata' 17.95 zl; n11 Gediz 5-function head+spiral hose 50 ratings"
32,88.1,Ranked in 3+ chains,HOUSEHOLD CLEANING,Toilet & Drain Tools,Toilet brushes,Brush with holder,Toilet brush with closed holder,"Комплект для туалета закрытый, в ассортименте",Fix Price,Russia,149,RUB,2.99,4,#3 Fix Price Russia (Для дома > Для ванной (bathroom)); #4 Fix Price Kazakhstan (Для дома > Для ванной (Bathroom)); #6 Carrefour Poland (Wyposażenie domu > Łazienka (all)),"Kazakhstan, Poland, Russia, Turkey",https://fix-price.com/catalog/dlya-doma/p-5031103-komplekt-dlya-tualeta-zakrytyy-v-assortimente,https://img.fix-price.com/insecure/rs:fit:800:800/plain/bit/_marketplace/images/origin/f1/f167547f3be8d906d5ee8155fb1e8ce4.jpg,"Fix Price Russia: #3 in 'Для дома > Для ванной (bathroom)' (sorted by units sold); Fix Price Kazakhstan: #4 in 'Для дома > Для ванной (Bathroom)' (popular first); Carrefour Poland: #6 in 'Wyposażenie domu > Łazienka (all)' (most popular) | Fix Price RU 'Для ванной' (6+ toilet brush/set SKUs: closed, corner, Liberte, Home Time 37/39 cm); n11 TR: İndecor toilet brush set (4 reviews), Cleova set | Fix Price 299 RUB brush+stand set; 4 toilet-brush SKUs in 'Для ванной' listing; Action PL brush with holder from 2.99 zl, 5 SKUs in 'Akcesoria łazienkowe'"
33,88.0,Ranked in 3+ chains,HOME ESSENTIALS & DIY,Tools,Hand Tools,Cable management,"Cable ties (nylon zip ties), pack",Siyah Plastik Cırt Kelepçe 3.6mm-30cm Kablo Bağı Elektrik Kablosu,n11,Turkey,149.99,TRY,5.22,33,#7 Carrefour Poland (Wyposażenie domu > Oświetlenie (all)); #13 Fix Price Russia (Для дома > Для ремонта (repair / tools / hardware)); #16 Fix Price Kazakhstan (Для дома > Для ремонта (Repair / tools)),"Kazakhstan, Poland, Russia, Turkey",https://www.n11.com/urun/siyah-plastik-cirt-kelepce-36mm-30cm-kablo-bagi-elektrik-kablosu-74280195,https://n11scdn.akamaized.net/a1/400_570/14/27/25/23/IMG-3742724073537519274.png,"Carrefour Poland: #7 in 'Wyposażenie domu > Oświetlenie (all)' (most popular); Fix Price Russia: #13 in 'Для дома > Для ремонта (repair / tools / hardware)' (sorted by units sold); Fix Price Kazakhstan: #16 in 'Для дома > Для ремонта (Repair / tools)' (popular first) | n11 149.99 TL (search listing), 33 ratings 5.0 / 31 reviews, category Kablo Baglari; Fix Price Master Hand cable ties 60 pcs, assorted ties and reusable ties 50 pcs"
34,88.0,Ranked in 2 chains,HOME ESSENTIALS & DIY,Tools,Hand Tools,Screwdrivers,Household screwdriver set (flat + Phillips),Zestaw śrubokrętów Werckmann,Action,Poland,8.49,PLN,3.75,1345,#1 Fix Price Kazakhstan (Для дома > Для ремонта (Repair / tools)); #18 Fix Price Russia (Для дома > Для ремонта (repair / tools / hardware)),"Kazakhstan, Poland, Russia, Turkey",https://www.action.com/pl-pl/p/3215284/zestaw-srubokretow-werckmann/,https://asset.action.com/image/upload/t_digital_product_image/w_1920/38064396.webp,"Fix Price Kazakhstan: #1 in 'Для дома > Для ремонта (Repair / tools)' (popular first); Fix Price Russia: #18 in 'Для дома > Для ремонта (repair / tools / hardware)' (sorted by units sold) | Action PL 8.49 zl (6 pcs), plus VDE 9-pc set 29.90 zl; Fix Price Master Hand screwdriver set 2 pcs; n11: Depomega 25-pc magnetic screwdriver set 1,345 reviews"
35,87.3,Ranked in 3+ chains,HOME ESSENTIALS & DIY,Fixing & Hanging,Furniture & Door Accessories,Floor protection,Self-adhesive furniture felt pads,Ochraniacze na nogi krzesełek,Action,Poland,6.49,PLN,2.87,33,#31 Fix Price Kazakhstan (Для дома > Хозяйственные мелочи (Household sundries)); #35 Fix Price Russia (Для дома > Хозяйственные мелочи (household sundries)); #65 Carrefour Poland (Dom i ogród > Remont i warsztat (all)),"Kazakhstan, Poland, Russia, Turkey",https://www.action.com/pl-pl/p/3221237/ochraniacze-na-nogi-krzesel/,https://asset.action.com/image/upload/t_digital_product_image/w_1920/3221237_8715342054520-111_01_elf6fj.webp,Fix Price Kazakhstan: #31 in 'Для дома > Хозяйственные мелочи (Household sundries)' (popular first); Fix Price Russia: #35 in 'Для дома > Хозяйственные мелочи (household sundries)' (sorted by units sold); Carrefour Poland: #65 in 'Dom i ogród > Remont i warsztat (all)' (most popular) | Action PL 6.49 zl; Fix Price Master Hand furniture pads set 39 pcs; n11: self-adhesive round felt pads 50-pack 33 reviews
